phase,timestep,ep_rew_mean,ep_len_mean,fold%,check_call%,raise33%,raise66%,raise100%,allin%
2,1217521,1.3504,1.5,0.016,0.07,0.005,0.184,0.353,0.372
2,1218521,2.236,1.44,0.009,0.065,0.005,0.171,0.366,0.384
2,1219521,0.7936,1.55,0.014,0.054,0.002,0.163,0.388,0.379
2,1220521,1.9728,1.52,0.012,0.081,0.003,0.154,0.366,0.384
2,1221521,2.6908,1.45,0.008,0.059,0.004,0.168,0.386,0.375
2,1222521,2.7856,1.45,0.014,0.075,0.003,0.163,0.375,0.37
2,1223521,1.5548,1.49,0.017,0.063,0.003,0.157,0.378,0.382
2,1224521,2.1076,1.47,0.009,0.074,0.005,0.155,0.375,0.382
2,1225521,1.7196,1.58,0.016,0.074,0.002,0.146,0.374,0.388
2,1226521,1.8724,1.52,0.016,0.067,0.006,0.141,0.4,0.37
2,1227521,1.9544,1.52,0.014,0.071,0.007,0.159,0.371,0.378
2,1228521,0.9324,1.54,0.012,0.068,0.005,0.165,0.375,0.375
2,1229521,1.5336,1.51,0.02,0.064,0.004,0.121,0.419,0.372
2,1230521,0.7836,1.49,0.015,0.067,0.002,0.136,0.398,0.382
2,1231521,1.6984,1.5,0.013,0.069,0.004,0.118,0.412,0.384
2,1232521,2.6196,1.55,0.013,0.072,0.001,0.121,0.412,0.381
2,1233521,0.5092,1.54,0.013,0.076,0.005,0.112,0.414,0.38
2,1234521,1.1924,1.55,0.016,0.064,0.003,0.099,0.442,0.376
2,1235521,0.9016,1.5,0.011,0.072,0.002,0.101,0.428,0.386
2,1236521,2.282,1.52,0.011,0.068,0.002,0.095,0.444,0.38
2,1237521,1.3084,1.52,0.009,0.058,0.003,0.089,0.458,0.383
2,1238521,2.3536,1.54,0.016,0.069,0.006,0.084,0.445,0.38
2,1239521,1.1912,1.49,0.012,0.057,0.003,0.083,0.462,0.383
2,1240521,0.664,1.54,0.014,0.069,0.002,0.092,0.435,0.388
2,1241521,0.892,1.6,0.018,0.074,0.003,0.094,0.432,0.379
2,1242521,1.9544,1.51,0.015,0.069,0.002,0.095,0.443,0.376
2,1243521,1.2636,1.57,0.013,0.084,0.002,0.104,0.416,0.381
2,1244521,1.3956,1.52,0.012,0.072,0.004,0.112,0.423,0.377
2,1245521,2.41,1.47,0.01,0.073,0.002,0.094,0.445,0.376
2,1246521,1.3388,1.51,0.01,0.069,0.003,0.105,0.437,0.376
2,1247521,1.0516,1.54,0.017,0.064,0.006,0.093,0.45,0.37
2,1248521,0.9872,1.51,0.017,0.068,0.01,0.074,0.453,0.378
2,1249521,1.802,1.53,0.014,0.065,0.002,0.062,0.474,0.383
2,1250521,1.774,1.49,0.015,0.07,0.006,0.071,0.47,0.368
2,1251521,0.2732,1.54,0.013,0.073,0.007,0.084,0.438,0.385
2,1252521,1.5268,1.57,0.012,0.08,0.009,0.091,0.422,0.386
2,1253521,1.1444,1.46,0.011,0.08,0.004,0.094,0.433,0.378
2,1254521,2.0024,1.51,0.016,0.07,0.005,0.09,0.436,0.383
2,1255521,1.5556,1.57,0.015,0.055,0.002,0.076,0.469,0.383
2,1256521,0.6712,1.52,0.017,0.069,0.003,0.067,0.473,0.371
2,1257521,-0.1516,1.52,0.014,0.068,0.001,0.07,0.465,0.382
2,1258521,2.0856,1.51,0.014,0.068,0.003,0.075,0.455,0.385
2,1259521,2.2312,1.47,0.016,0.055,0.004,0.073,0.475,0.377
2,1260521,1.6104,1.49,0.014,0.055,0.003,0.063,0.488,0.377
2,1261521,2.2596,1.53,0.013,0.076,0.004,0.067,0.469,0.371
2,1262521,1.8172,1.45,0.013,0.073,0.003,0.072,0.467,0.372
2,1263521,2.4436,1.52,0.017,0.063,0.005,0.082,0.465,0.368
2,1264521,2.4476,1.54,0.013,0.063,0.009,0.089,0.455,0.371
2,1265521,0.2996,1.51,0.009,0.076,0.002,0.082,0.468,0.363
2,1266521,0.6908,1.57,0.013,0.073,0.002,0.097,0.439,0.376
2,1267521,1.1452,1.58,0.011,0.074,0.006,0.106,0.427,0.376
2,1268521,1.8552,1.56,0.018,0.069,0.003,0.1,0.444,0.366
2,1269521,1.5148,1.55,0.018,0.063,0.005,0.096,0.455,0.363
2,1270521,1.6916,1.55,0.011,0.076,0.002,0.106,0.435,0.37
2,1271521,2.4952,1.52,0.009,0.059,0.004,0.108,0.442,0.378
2,1272521,2.19,1.55,0.013,0.076,0.005,0.1,0.441,0.365
2,1273521,1.6028,1.51,0.02,0.074,0.003,0.127,0.409,0.367
2,1274521,1.5324,1.6,0.016,0.077,0.01,0.133,0.396,0.368
2,1275521,1.8292,1.56,0.012,0.082,0.006,0.126,0.401,0.373
2,1276521,1.3052,1.59,0.016,0.071,0.004,0.136,0.401,0.372
2,1277521,1.91,1.56,0.014,0.068,0.009,0.122,0.424,0.363
2,1278521,1.5972,1.56,0.014,0.059,0.005,0.113,0.443,0.366
2,1279521,1.5228,1.52,0.016,0.054,0.004,0.105,0.451,0.37
2,1280521,0.5908,1.53,0.011,0.063,0.003,0.095,0.456,0.372
2,1281521,0.3836,1.55,0.016,0.076,0.003,0.106,0.436,0.363
