phase,timestep,ep_rew_mean,ep_len_mean,fold%,check_call%,raise33%,raise66%,raise100%,allin%
2,236000,1.69,1.51,0.012,0.077,0.002,0.012,0.506,0.391
2,237000,2.72,1.51,0.019,0.076,0.002,0.01,0.505,0.388
2,238000,0.1452,1.5,0.01,0.064,0.004,0.01,0.515,0.397
2,239000,1.836,1.55,0.015,0.073,0.002,0.017,0.496,0.397
2,240000,2.1392,1.44,0.007,0.065,0.004,0.016,0.51,0.398
2,241000,1.602,1.5,0.013,0.063,0.004,0.025,0.506,0.389
2,242000,1.116,1.52,0.014,0.068,0.004,0.016,0.508,0.39
2,243000,0.736,1.51,0.015,0.06,0.003,0.023,0.504,0.395
2,244000,1.82,1.49,0.013,0.065,0.003,0.022,0.488,0.409
2,245000,0.246,1.52,0.018,0.08,0.005,0.012,0.502,0.383
2,246000,0.832,1.54,0.016,0.072,0.002,0.012,0.507,0.391
2,247000,0.702,1.55,0.019,0.084,0.003,0.015,0.489,0.39
2,248000,1.188,1.49,0.013,0.068,0.001,0.019,0.519,0.38
2,249000,1.1512,1.52,0.009,0.073,0.003,0.025,0.504,0.386
2,250000,1.926,1.52,0.013,0.07,0.002,0.026,0.511,0.378
2,251000,1.266,1.51,0.016,0.065,0.002,0.023,0.523,0.371
2,252000,0.3712,1.51,0.02,0.073,0.0,0.017,0.509,0.381
2,253000,1.592,1.51,0.015,0.06,0.002,0.022,0.51,0.391
2,254000,2.202,1.48,0.014,0.07,0.0,0.016,0.523,0.377
2,255000,-0.062,1.5,0.013,0.074,0.004,0.037,0.487,0.385
2,256000,1.092,1.56,0.019,0.08,0.001,0.029,0.488,0.383
2,257000,1.2692,1.55,0.013,0.079,0.002,0.025,0.498,0.383
2,258000,1.484,1.5,0.016,0.068,0.001,0.013,0.524,0.378
2,259000,2.678,1.51,0.008,0.062,0.0,0.026,0.506,0.398
2,260000,1.5184,1.49,0.013,0.064,0.003,0.025,0.512,0.383
2,261000,0.8072,1.56,0.014,0.075,0.002,0.025,0.504,0.38
2,262000,2.2804,1.57,0.01,0.061,0.004,0.013,0.522,0.39
2,263000,0.6248,1.48,0.014,0.06,0.001,0.024,0.519,0.382
2,264000,1.7956,1.55,0.015,0.055,0.0,0.031,0.522,0.377
2,265000,2.7272,1.55,0.014,0.071,0.002,0.02,0.515,0.378
2,266000,1.0152,1.52,0.016,0.074,0.003,0.021,0.511,0.375
2,267000,2.178,1.54,0.013,0.067,0.002,0.027,0.519,0.372
2,268000,1.8524,1.58,0.013,0.059,0.001,0.019,0.536,0.372
2,269000,2.18,1.54,0.008,0.075,0.0,0.018,0.531,0.368
2,270000,2.102,1.51,0.014,0.078,0.0,0.008,0.53,0.37
2,271000,0.908,1.56,0.007,0.07,0.0,0.007,0.536,0.38
2,272000,1.702,1.53,0.007,0.075,0.001,0.004,0.537,0.376
2,273000,1.9788,1.52,0.016,0.06,0.001,0.012,0.548,0.363
2,274000,1.348,1.53,0.006,0.079,0.0,0.011,0.527,0.377
2,275000,2.3812,1.51,0.007,0.064,0.0,0.012,0.54,0.377
2,276000,2.024,1.52,0.01,0.073,0.0,0.009,0.534,0.374
2,277000,1.488,1.54,0.018,0.069,0.0,0.011,0.531,0.371
2,278000,1.798,1.58,0.012,0.079,0.0,0.01,0.52,0.379
2,279000,1.5,1.59,0.016,0.079,0.0,0.008,0.524,0.373
2,280000,1.7272,1.51,0.006,0.079,0.0,0.011,0.521,0.383
2,281000,1.3692,1.57,0.018,0.067,0.0,0.01,0.518,0.387
2,282000,1.284,1.56,0.012,0.061,0.0,0.013,0.541,0.373
2,283000,1.0732,1.55,0.014,0.056,0.001,0.015,0.534,0.38
2,284000,0.664,1.53,0.018,0.059,0.0,0.011,0.534,0.378
2,285000,2.14,1.55,0.014,0.077,0.001,0.013,0.515,0.38
2,286000,2.278,1.5,0.023,0.063,0.0,0.021,0.522,0.371
