phase,timestep,ep_rew_mean,ep_len_mean,fold%,check_call%,raise33%,raise66%,raise100%,allin%
2,449401,0.258,1.44,0.172,0.049,0.091,0.006,0.498,0.184
2,450401,0.032,1.56,0.155,0.06,0.119,0.01,0.481,0.175
2,451401,1.33,1.44,0.162,0.044,0.101,0.011,0.489,0.193
2,452401,-0.4524,1.59,0.171,0.052,0.095,0.013,0.477,0.192
2,453401,-1.152,1.5,0.169,0.054,0.104,0.009,0.49,0.174
2,454401,2.036,1.64,0.165,0.052,0.105,0.008,0.487,0.183
2,455401,1.06,1.51,0.161,0.053,0.1,0.006,0.504,0.176
2,456401,-0.25,1.4,0.163,0.042,0.093,0.012,0.498,0.192
2,457401,0.404,1.42,0.161,0.051,0.11,0.008,0.484,0.186
2,458401,-1.156,1.5,0.157,0.055,0.095,0.009,0.49,0.194
2,459401,0.668,1.49,0.167,0.049,0.095,0.011,0.49,0.188
2,460401,0.554,1.55,0.163,0.071,0.095,0.013,0.469,0.189
2,461401,-0.512,1.58,0.155,0.059,0.091,0.011,0.493,0.191
2,462401,0.084,1.52,0.17,0.051,0.09,0.009,0.498,0.182
2,463401,2.26,1.45,0.163,0.055,0.087,0.008,0.495,0.192
2,464401,-0.27,1.48,0.193,0.05,0.087,0.007,0.485,0.178
